id,question,correct_answer,incorrect_answers,explanation,as_first
10681,"If a drop of water skates around a very hot pan instead of evaporating immediately, what is creating the cushion underneath it?",Its own steam,"[""Air pressure"",""Oil vapor"",""Pan vibrations""]","This is the Leidenfrost effect. The bottom of the droplet flashes into vapor, and that vapor layer lifts the drop so it glides across the surface.",1
10691,"In the late 19th century, the Great Wine Blight nearly destroyed Europe's vineyards. The solution involved grafting European vines onto rootstocks from where?",North America,"[""China"",""Australia"",""Africa""]",American grapevines had evolved a natural resistance to the Phylloxera aphid. Grafting European vines onto American roots saved the wine industry.,0
10696,"Before modern electricity, lighthouses used Fresnel lenses to focus a lamp's light. Under good conditions, roughly how far could such beams be visible?",Over 20 miles,"[""2 miles"",""5 miles"",""100 miles""]","A Fresnel lens concentrates light that would otherwise scatter, making lighthouse beams visible from much farther away. Fresnel lenses are still used in some lighthouses, and the exact range depends on lighthouse height, weather, and light source, but 20+ miles is a reasonable rough figure.",0
10697,A "brinicle" is sometimes called the "finger of death" because this underwater icicle can do what near the seafloor?,Freeze seawater around slow-moving sea life,"[""Explodes upon contact"",""Poisons the water around it"",""Traps fish in a cage of ice""]","A brinicle forms when very cold, salty brine sinks from sea ice and freezes the seawater around it. When it reaches the seafloor, the spreading ice can trap or kill slow-moving animals such as sea stars and sea urchins.",0
10701,"If you fall into a black hole, gravity stretches you into a long, thin noodle shape. Physicists seriously call this process what?",Spaghettification,"[""Noodling"",""Stretching"",""Pastafication""]","The tidal forces are so strong that gravity at your feet is much stronger than at your head, pulling you apart vertically while compressing you horizontally.",1
10705,"Why is tempered glass, like the glass used in many car side windows, safer than regular glass?",It breaks into small blunt pieces,"[""It is soft and bouncy"",""It dissolves in water"",""It is impossible to break""]","When tempered glass breaks, it releases that energy by shattering into small, relatively blunt pieces rather than long jagged shards.",0
10707,"Olympus Mons on Mars is so wide and has such a gentle slope that if you were standing on its slopes, what surprising thing would you notice?",You wouldn't realize you were on a mountain,"[""You would see the entire planet"",""You would float away"",""You would burn instantly""]","Because the volcano is so vast, the slope extends beyond the horizon. The curvature of Mars means the base of the volcano would be hidden, making you feel like you were on a high plateau.",0
10708,"Scientists discovered that if you trap a gas bubble in water and blast it with sound waves, what can the bubble do?",Emit a flash of light,"[""Turn into ice"",""Create a black hole"",""Play music back""]","This phenomenon, called sonoluminescence, happens when a bubble collapses so violently that the gas inside gets hot enough to glow. It's effectively 'turning sound into light'.",1
10712,Why can a strand of human hair be surprisingly strong for its size?,It is made of tough keratin fibers,"[""It has tiny metal wires inside"",""It is filled with bone"",""It hardens when pulled""]","Human hair is mostly keratin, a strong protein arranged in fibers. A single strand can resist a surprising amount of pulling force, though real strength varies with thickness, condition, and moisture.",0
10713,"During a volcanic eruption, massive ash plumes can create 'dirty thunderstorms.' What generates the lightning in these volcanic clouds?",Friction between ash particles,"[""Heat from the lava"",""Solar radiation"",""Magnetic field shifts""]","Just as ice crystals rub together in normal clouds to create static, ash and rock fragments collide in volcanic plumes, generating powerful electrical charges.",0
10716,Why do you feel dizzy after spinning and then stopping?,Fluid in the inner ear keeps moving,"[""Your eyes stop blinking"",""Your heart slows down"",""Your shoes lose traction""]",The moving fluid continues to signal motion even after you stop. Your brain briefly misreads your position.,1
10719,"In cold rivers and lakes, perfectly circular disks of ice sometimes form and slowly rotate in the water. What are these natural phenomena called?",Ice circles,"[""Frost rings"",""Frozen spirals"",""Polar disks""]","Ice circles form when ice breaks off and gets caught in an eddy, slowly rotating and grinding against surrounding ice to create a perfect circle. Some can reach over 15 meters in diameter.",0
10720,"If you properly shuffle a standard deck of cards, it is statistically likely that exact order has never existed before in what span of time?",In the entire history of the universe,"[""In the last 100 years"",""In the last decade"",""Since the casino opened""]","The number of possible combinations (52 factorial) is vastly larger than the number of shuffles humans could plausibly have performed, making repeats virtually impossible.",0
10724,"Steel is much heavier than water, yet huge steel cruise ships float easily. What physical principle explains this?",They displace water equal to their weight,"[""The engines push them up"",""The water is saltier"",""They are magnetic""]","This is Archimedes' principle. The ship is shaped to push aside a massive amount of water. If the water pushed aside weighs more than the ship, it floats.",0
10726,"Robert Chesebrough discovered Vaseline after observing oil rig workers using a black, waxy residue to treat what?",Cuts and burns,"[""Dry scalp"",""Rusted tools"",""Leather boots""]",Workers called the residue 'rod wax.' Chesebrough refined it into the clear petroleum jelly we know today.,0
10731,The 'Morning Glory' phenomenon in Northern Australia creates rare clouds that can stretch up to about 600 miles. What do these clouds look like?,A giant rolling cylinder,"[""A fleet of flying saucers"",""A giant mushroom"",""A vertical wall of ice""]","These roll clouds appear as massive horizontal tubes that seem to roll across the sky, often accompanied by sudden wind squalls.",0
10732,"Rapid Eye Movement (REM) sleep, where most dreaming occurs, was only discovered in the 1950s. What happens to the body's major muscles during this phase?",Most voluntary muscles are temporarily inhibited,"[""They twitch constantly"",""They tense up"",""They grow stronger""]","During REM sleep, the brain suppresses most voluntary muscle activity, a state called REM atonia. This helps prevent people from acting out dreams, while muscles needed for breathing and eye movement remain active.",0
10733,"Some rare people have highly superior autobiographical memory, meaning they can recall many personal dates and events with unusual vividness. What can be a difficult downside?",Painful memories may feel harder to leave behind,"[""Their brains age faster"",""They struggle to learn new things"",""They can't focus on the present""]","People with highly superior autobiographical memory do not literally remember every detail of every day. But many can recall personal events with exceptional clarity, which may make unpleasant memories unusually persistent.",0
